
[13-04-2023 08:21:26]
Transaction Report for Input File 76165_58_100_1677854577756_req.csv
Beneficiary Name,Debit Account Number,Amount,IFSC CODE,Status,Reason
MAKHAN JEET CONSTRUCTION           ,123456789456791,00000028000.00,SBIN0050870,Successful,
MAKHAN JEET CONSTRUCTION           ,123456789456791,00000028000.00,SBIN0050871,Successful,
MAKHAN JEET CONSTRUCTION           ,123456789456791,00000028000.00,SBIN0050872,Successful,
MAKHAN JEET CONSTRUCTION           ,123456789456791,00000028000.00,SBIN0050873,Successful,
MAKHAN JEET CONSTRUCTION           ,123456789456791,00000028000.00,SBIN0050874,Successful,
Successful Record Count :5
UnSuccessful Record Count :0

[13-04-2023 08:23:37]
Transaction Report for Input File 76165_58_100_1677854577756_req.csv
Beneficiary Name,Debit Account Number,Amount,IFSC CODE,Status,Reason
MAKHAN JEET CONSTRUCTION           ,123456789456791,00000028000.00,SBIN0050870,Successful,
MAKHAN JEET CONSTRUCTION           ,123456789456791,00000028000.00,SBIN0050871,Successful,
MAKHAN JEET CONSTRUCTION           ,123456789456791,00000028000.00,SBIN0050872,Successful,
MAKHAN JEET CONSTRUCTION           ,123456789456791,00000028000.00,SBIN0050873,Successful,
MAKHAN JEET CONSTRUCTION           ,123456789456791,00000028000.00,SBIN0050874,Successful,
Successful Record Count :5
UnSuccessful Record Count :0

[13-04-2023 08:24:59]
Transaction Report for Input File 76165_58_100_1677854577756_req.csv
Beneficiary Name,Debit Account Number,Amount,IFSC CODE,Status,Reason
MAKHAN JEET CONSTRUCTION           ,123456789456791,00000028000.00,SBIN0050870,Successful,
MAKHAN JEET CONSTRUCTION           ,123456789456791,00000028000.00,SBIN0050871,Successful,
MAKHAN JEET CONSTRUCTION           ,123456789456791,00000028000.00,SBIN0050872,Successful,
MAKHAN JEET CONSTRUCTION           ,123456789456791,00000028000.00,SBIN0050873,Successful,
MAKHAN JEET CONSTRUCTION           ,123456789456791,00000028000.00,SBIN0050874,Successful,
Successful Record Count :5
UnSuccessful Record Count :0

[14-04-2023 01:59:54]
Transaction Report for Input File 76165_58_100_1677854577756_req.csv
Beneficiary Name,Debit Account Number,Amount,IFSC CODE,Status,Reason
